"Team","FirstName","LastName","Nationality","DateOfBirth","Age","CountryOfBirth","PlaceOfBirth","Position","Height","Weight"
"Chile","Eduardo Jes<U+00FA>s","Vargas Rojas","Chile",1989-11-20,24,"Chile","Santiago de Chile","Attacker",175,70
"Chile","Esteban Efra<U+00ED>n","Paredes Quintanilla","Chile",1980-08-01,33,"Chile","Santiago de Chile","Attacker",176,78
"Chile","Carlos Andr<U+00E9>s","Mu<U+00F1>oz Rojas","Chile",1989-04-21,25,"Chile","Valparaiso","Attacker",173,NA
"Chile","Ruben Ignacio","Farfan Arancibia","Chile",1991-09-25,22,"Chile","Valpara<U+00ED>so","Attacker",NA,NA
"Australia","Brad","Jones","Australia",1982-03-19,32,"Australia","Armadale","Goalkeeper",191,76
"Australia","Eugene","Galekovi<U+0107>","Australia",1981-06-12,32,"Australia","Melbourne","Goalkeeper",186,91
"Australia","Mitchell","Langerak","Australia",1988-08-22,25,"Australia","Emerald","Goalkeeper",193,83
"Australia","Mathew","Ryan","Australia",1992-04-08,22,"Australia","Plumpton","Goalkeeper",181,73
"Australia","Luke","Wilkshire","Australia",1981-10-02,32,"Australia","Wollongong","Defender",175,72
"Australia","Matthew","<U+0160>piranovi<U+0107>","Australia",1988-06-27,25,"Australia","Geelong","Defender",193,88
"Australia","Ryan","McGowan","Australia",1989-08-15,24,"Australia","Adelaide","Defender",188,75
"Australia","Alex","Wilkinson","Australia",1984-08-13,29,"Australia","Sydney","Defender",187,85
"Australia","Ivan","Franjic","Australia",1987-09-10,26,"Australia","Melbourne","Defender",180,77
"Australia","Jason ","Davidson","Australia",1991-06-29,22,"Australia","Melbourne","Defender",180,72
"Australia","Bailey","Wright","Australia",1992-07-28,21,"Australia","Melbourne","Defender",175,85
"Australia","Curtis","Good","Australia",1993-03-23,21,"Australia","Melbourne","Defender",187,NA
"Australia","Mark","Bresciano","Australia",1980-02-11,34,"Australia","Melbourne","Midfielder",180,73
"Australia","Tim","Cahill","Australia",1979-12-06,34,"Australia","Sydney","Midfielder",178,64
"Australia","Brett ","Holman","Australia",1984-03-27,30,"Australia","Bankstown","Midfielder",177,75
"Australia","Oliver","Bozanic","Australia",1989-01-08,25,"Australia","Sydney","Midfielder",175,71
"Australia","Mark ","Milligan","Australia",1985-08-04,28,"Australia","Sydney","Midfielder",180,80
"Australia","Dario","Vido<U+0161>i<U+0107>","Australia",1987-04-08,27,"Croatia","Osijek","Midfielder",185,75
"Australia","Mile","Jedinak","Australia",1984-08-03,29,"Australia","Sydney","Midfielder",189,87
"Australia","Matt","McKay","Australia",1983-01-11,31,"Australia","Brisbane","Midfielder",171,65
"Australia","James","Holland","Australia",1989-05-15,25,"Australia","Sydney","Midfielder",182,76
"Australia","Adam","Sarota","Australia",1988-12-28,25,"Australia","Gordonvale","Midfielder",182,72
"Australia","Mathew","Leckie","Australia",1991-02-04,23,"Australia","Melbourne","Midfielder",181,84
"Australia","Ben","Halloran","Australia",1992-06-14,21,"Australia","Cairns","Midfielder",180,73
"Australia","Joshua","Brillante","Australia",1993-03-25,21,"Australia","Bundaberg","Midfielder",177,73
"Australia","Massimo ","Luongo","Australia",1992-09-25,21,"Australia","Sydney","Midfielder",176,NA
"Australia","Tom","Rogi<U+0107>","Australia",1992-12-16,21,"Australia","Griffith","Midfielder",188,80
"Australia","Josh","Kennedy","Australia",1982-08-20,31,"Australia","Wodonga","Attacker",194,84
"Australia","James","Troisi","Australia",1988-07-03,25,"Australia","Adelaide","Attacker",177,78
"Australia","Tommy","Oar","Australia",1991-12-10,22,"Australia","Gold Coast","Attacker",170,64
"Australia","Adam","Taggart","Australia",1993-06-02,21,"Australia","Perth","Attacker",183,69
"Colombia","Faryd Camilo","Mondrag<U+00F3>n Aly","Colombia",1971-06-21,42,"Colombia","Cali","Goalkeeper",191,94
"Colombia","David","Ospina Ram<U+00ED>rez","Colombia",1988-08-31,25,"Colombia","Medell<U+00ED>n","Goalkeeper",183,80
"Colombia","Camilo Andr<U+00E9>s","Vargas Gil","Colombia",1989-03-09,25,"Colombia","Bogot<U+00E1>","Goalkeeper",185,87
"Colombia","Mario Alberto","Yepes D<U+00ED>az","Colombia",1976-01-13,38,"Colombia","Cali","Defender",186,83
"Colombia","Luis Amaranto","Perea Mosquera","Colombia",1979-01-30,35,"Colombia","Turbo, Antioquia","Defender",181,77
"Colombia","Cristian Eduardo","Zapata Valencia","Colombia",1986-09-30,27,"Colombia","Padilla","Defender",187,82
"Colombia","Pablo Est<U+00ED>fer","Armero","Colombia",1986-11-02,27,"Colombia","Tum<U+00E1>co","Defender",174,81
"Colombia","Carlos Enrique","Vald<U+00E9>s Parra","Colombia",1985-05-22,29,"Colombia","Cali","Defender",185,80
"Colombia","Santiago","Arias Naranjo","Colombia",1992-01-13,22,"Colombia","Medell<U+00ED>n","Defender",176,68
"Colombia","Jhon Stefan","Medina Ram<U+00ED>rez","Colombia",1992-06-14,21,"Colombia","Envigado","Defender",179,71
"Colombia","Eder Fabi<U+00E1>n","<U+00C1>lvarez Balanta","Colombia",1993-02-28,21,"Colombia","Bogot<U+00E1>","Defender",181,84
"Colombia","Abel Enrique","Aguilar Tapia","Colombia",1985-01-06,29,"Colombia","Bogot<U+00E1>","Midfielder",185,82
"Colombia","Juan Camilo","Z<U+00FA><U+00F1>iga Mosquera","Colombia",1985-12-14,28,"Colombia","Chigorod<U+00F3>","Midfielder",172,72
"Colombia","Macnelly","Torres Berr<U+00ED>o","Colombia",1984-11-01,29,"Colombia","Barranquilla","Midfielder",170,72
"Colombia","Carlos Alberto","S<U+00E1>nchez Moreno","Colombia",1986-02-06,28,"Colombia","Quibd<U+00F3>","Midfielder",182,82
"Colombia","Edwin Armando","Valencia Rodr<U+00ED>guez","Colombia",1985-03-29,29,"Colombia","Florida","Midfielder",181,82
"Colombia","Aldo Leao","Ram<U+00ED>rez Sierra","Colombia",1981-04-18,33,"Colombia","Santa Marta","Midfielder",174,76
"Colombia","Alexander","Mej<U+00ED>a Sabalsa","Colombia",1988-07-11,25,"Colombia","Barranquilla","Midfielder",178,79
"Colombia","Fredy Alejandro","Guar<U+00ED>n V<U+00E1>squez","Colombia",1986-06-30,27,"Colombia","Puerto Boyac<U+00E1>","Midfielder",183,77
"Colombia","Juan Guillermo","Cuadrado Bello","Colombia",1988-05-26,26,"Colombia","Necocl<U+00ED>","Midfielder",176,66
"Colombia","James David","Rodr<U+00ED>guez Rubio","Colombia",1991-07-12,22,"Colombia","C<U+00FA>cuta","Midfielder",180,77
"Colombia","Te<U+00F3>filo Antonio","Guti<U+00E9>rrez Roncancio","Colombia",1985-05-17,29,"Colombia","Barranquilla","Attacker",178,83
"Colombia","Gustavo Adri<U+00E1>n","Ramos V<U+00E1>squez","Colombia",1986-01-22,28,"Colombia","Santander de Quilichao","Attacker",185,74
"Colombia","Jackson Arley","Mart<U+00ED>nez Valencia","Colombia",1986-10-03,27,"Colombia","Quibd<U+00F3>","Attacker",185,75
"Colombia","Segundo V<U+00ED>ctor","Ibarbo Guerrero","Colombia",1990-05-19,24,"Colombia","Cali","Attacker",188,79
"Colombia","Carlos Arturo","Bacca Ahumada","Colombia",1986-09-08,27,"Colombia","Puerto Colombia","Attacker",179,76
"Colombia","Juan Fernando","Quintero Paniagua","Colombia",1993-01-18,21,"Colombia","Medell<U+00ED>n","Attacker",169,64
"Colombia","Luis Fernando","Muriel Fruto","Colombia",1991-04-16,23,"Colombia","Santo Tom<U+00E1>s","Attacker",178,75
"Greece","Panagiotis","Glykos","Greece",1986-10-10,27,"Greece",NA,"Goalkeeper",189,NA
"Greece","Alexandros","Tzorvas","Greece",1982-08-12,31,"Greece","Athina","Goalkeeper",188,80
"Greece","Orestis","Karnezis","Greece",1985-07-11,28,"Greece","Athina","Goalkeeper",189,79
"Greece","Stefanos","Kapino","Greece",1994-03-18,20,"Greece",NA,"Goalkeeper",NA,NA
"Greece","Jos<U+00E9>","Holebas","Greece",1984-06-27,29,"Germany","Aschaffenburg","Defender",184,79
"Greece","Avraam","Papadopoulos","Greece",1984-12-03,29,"Australia","Melbourne","Defender",188,77
"Greece","Vassilis","Torosidis","Greece",1985-06-10,28,"Greece","Xanthi","Defender",185,80
"Greece","Loukas","Vyntra","Greece",1981-02-05,33,"Czech Republic","M<U+011B>sto Albrechtice","Defender",184,76
"Greece","Vangelis","Moras","Greece",1981-08-26,32,"Greece","Larissa","Defender",193,78
"Greece","Sokratis","Papastathopoulos","Greece",1988-06-09,25,"Greece","Kalamata","Defender",185,85
"Greece","Georgios","Tzavellas","Greece",1987-11-26,26,"Greece","Vyronas","Defender",183,80
"Greece","Konstantinos","Manolas","Greece",1991-06-14,22,"Greece","Athina","Defender",179,67
"Greece","Giorgios","Karagounis","Greece",1977-03-06,37,"Greece","Pyrgos","Midfielder",176,74
"Greece","Konstantinos","Katsouranis","Greece",1979-06-21,34,"Greece","Patras","Midfielder",183,81
"Greece","Lazaros","Christodoulopoulos","Greece",1986-12-19,27,"Greece","Thessaloniki","Midfielder",183,77
"Greece","Alexandros","Tziolis","Greece",1985-02-13,29,"Greece","Katerini","Midfielder",189,84
"Greece","Panagiotis Giorgios","Kone","Greece",1987-07-26,26,"Albania","Tirana","Midfielder",182,74
"Greece","Giannis","Maniatis","Greece",1986-10-12,27,"Greece","Livadeia","Midfielder",177,71
"Greece","Panagiotis ","Tachtsidis ","Greece",1991-02-15,23,"Greece","Nafplio","Midfielder",190,86
"Greece","Ioannis","Fetfatzidis","Greece",1990-12-21,23,"Greece","Athens","Midfielder",168,64
"Greece","Andreas","Samaris","Greece",1989-06-13,24,"Greece",NA,"Midfielder",NA,NA
"Greece","Georgios","Samaras","Greece",1985-02-21,29,"Greece","Heraklion","Attacker",193,82
"Greece","Theofanis","Gekas","Greece",1980-05-23,34,"Greece","Larissa","Attacker",180,71
"Greece","Konstantinos","Mitroglou","Greece",1988-03-12,26,"Greece","Kavala","Attacker",188,86
"Greece","Dimitris","Salpingidis","Greece",1981-08-18,32,"Greece","Thessaloniki","Attacker",177,72
"Greece","Dimitrios","Papadopoulos","Greece",1981-10-20,32,"Uzbekistan","Gagarin","Attacker",178,71
"Uruguay","N<U+00E9>stor Fernando","Muslera Micol","Uruguay",1986-06-16,27,"Argentina","Buenos Aires","Goalkeeper",190,84
"Uruguay","Mart<U+00ED>n Andr<U+00E9>s","Silva Leites","Uruguay",1983-03-25,31,"Uruguay","Montevideo","Goalkeeper",186,80
"Uruguay","Rodrigo Mart<U+00ED>n","Mu<U+00F1>oz Salom<U+00F3>n","Uruguay",1982-01-22,32,"Uruguay","Montevideo","Goalkeeper",181,79
"Uruguay","Diego Alfredo","Lugano Morena","Uruguay",1980-11-02,33,"Uruguay","Canelones","Defender",186,83
"Uruguay","Jorge Ciro","Fucile Perdomo","Uruguay",1984-11-19,29,"Uruguay","Montevideo","Defender",177,73
"Uruguay","Victorio Maximiliano","Pereira P<U+00E1>ez","Uruguay",1984-06-08,29,"Uruguay","Montevideo","Defender",173,73
"Uruguay","Jos<U+00E9> Mart<U+00ED>n","C<U+00E1>ceres Silva","Uruguay",1987-04-07,27,"Uruguay","Montevideo","Defender",182,77
"Uruguay","Diego Roberto","God<U+00ED>n Leal","Uruguay",1986-02-16,28,"Uruguay","Rosario","Defender",185,73
"Uruguay","<U+00C1>lvaro Daniel","Pereira Barrag<U+00E1>n","Uruguay",1985-11-28,28,"Uruguay","Montevideo","Defender",180,78
"Uruguay","Sebasti<U+00E1>n","Coates Ni<U+00F3>n","Uruguay",1990-10-07,23,"Uruguay","Montevideo","Defender",196,85
"Uruguay","Jos<U+00E9> Mar<U+00ED>a","Gim<U+00E9>nez de Vargas","Uruguay",1995-01-20,19,"Uruguay","Toledo","Defender",185,80
"Uruguay","Diego Fernando","P<U+00E9>rez Aguado","Uruguay",1980-05-18,34,"Uruguay","Montevideo","Midfielder",177,81
"Uruguay","Sebasti<U+00E1>n","Eguren Ledesma","Uruguay",1981-01-08,33,"Uruguay","Montevideo","Midfielder",186,84
"Uruguay","Cristian Gabriel","Rodr<U+00ED>guez Barrotti","Uruguay",1985-09-30,28,"Uruguay","Juan Lacaze","Midfielder",178,75
"Uruguay","Walter Alejandro","Gargano Guevara","Uruguay",1984-07-27,29,"Uruguay","Paysand<U+00FA>","Midfielder",168,65
"Uruguay","<U+00C1>lvaro Rafael","Gonz<U+00E1>lez Luengo","Uruguay",1984-10-29,29,"Uruguay","Montevideo","Midfielder",176,72
"Uruguay","Eg<U+00ED>dio Ra<U+00FA>l","Ar<U+00E9>valo R<U+00ED>os","Uruguay",1982-01-01,32,"Uruguay","Paysand<U+00FA>","Midfielder",170,68
"Uruguay","Marcelo Nicol<U+00E1>s","Lodeiro Ben<U+00ED>tez","Uruguay",1989-03-21,25,"Uruguay","Paysand<U+00FA>","Midfielder",170,69
"Uruguay","Gast<U+00F3>n Exequiel","Ram<U+00ED>rez Pereyra","Uruguay",1990-12-02,23,"Uruguay","Fray Bentos","Midfielder",183,78
"Uruguay","Alejandro Daniel","Silva Gonz<U+00E1>lez","Uruguay",1989-09-04,24,"Uruguay","Montevideo","Midfielder",178,67
"Uruguay","Luis Alberto","Su<U+00E1>rez D<U+00ED>az","Uruguay",1987-01-24,27,"Uruguay","Salto","Attacker",181,81
"Uruguay","Diego","Forl<U+00E1>n Corazo","Uruguay",1979-05-19,35,"Uruguay","Montevideo","Attacker",180,75
"Uruguay","Edinson Roberto","Cavani G<U+00F3>mez","Uruguay",1987-02-14,27,"Uruguay","Salto","Attacker",184,74
"Uruguay","Cristhian Ricardo","Stuani Curbelo","Uruguay",1986-10-12,27,"Uruguay","Tala","Attacker",186,76
"Uruguay","Abel Mathias","Hern<U+00E1>ndez Platero","Uruguay",1990-08-08,23,"Uruguay","Pando","Attacker",185,73
"Costa Rica","Keilor","Navas Gamboa","Costa Rica",1986-12-15,27,"Costa Rica","P<U+00E9>rez Zeled<U+00F3>n","Goalkeeper",186,78
"Costa Rica","Patrick Alberto","Pemberton Bernard","Costa Rica",1982-04-24,32,"Costa Rica",NA,"Goalkeeper",NA,NA
"Costa Rica","Daniel Arturo","Cambronero Solano","Costa Rica",1986-01-08,28,"Costa Rica",NA,"Goalkeeper",180,74
"Costa Rica","Leonel","Moreira Ledezma","Costa Rica",1990-04-02,24,"Costa Rica",NA,"Goalkeeper",NA,NA
"Costa Rica","Michael","Uma<U+00F1>a Corrales","Costa Rica",1982-07-16,31,"Costa Rica","Santa Ana","Defender",183,73
"Costa Rica","Roy","Miller Hern<U+00E1>ndez","Costa Rica",1984-11-24,29,"Costa Rica","San Jose","Defender",188,75
"Costa Rica","J<U+00FA>nior Enrique","D<U+00ED>az Campbell","Costa Rica",1983-09-12,30,"Costa Rica","San Jos<U+00E9>","Defender",185,76
"Costa Rica","<U+00D3>scar Esau","Duarte Gait<U+00E1>n","Costa Rica",1989-06-03,25,"Nicaragua","Masaya","Defender",184,85
"Costa Rica","Dave Andrew","Myrie Medrano","Costa Rica",1988-06-01,26,"Costa Rica","Limon","Defender",186,78
"Costa Rica","Heiner","Mora Mora","Costa Rica",1984-06-20,29,"Costa Rica","San Jos<U+00E9>","Defender",179,76
"Costa Rica","Cristian","Gamboa Luna","Costa Rica",1989-10-24,24,"Costa Rica","Liberia","Defender",175,67
"Costa Rica","Geancarlo","Gonz<U+00E1>lez Castro","Costa Rica",1988-02-08,26,"Costa Rica","San Jos<U+00E9>","Defender",191,84
"Costa Rica","Jhonny","Acosta Zamora","Costa Rica",1983-07-21,30,"Costa Rica","Alajuela","Defender",178,77
"Costa Rica","Christopher","Meneses Barrantes","Costa Rica",1990-05-02,24,"Costa Rica",NA,"Defender",NA,NA
"Costa Rica","Porfirio","L<U+00F3>pez Meza","Costa Rica",1986-09-21,27,"Costa Rica","San Jos<U+00E9>","Defender",182,80
"Costa Rica","Jos<U+00E9> Andr<U+00E9>s","Salvatierra L<U+00F3>pez","Costa Rica",1989-10-10,24,"Costa Rica",NA,"Defender",NA,NA
"Costa Rica","Waylon Dwayne","Francis Box","Costa Rica",1990-09-20,23,"Costa Rica","Lim<U+00F3>n","Defender",NA,NA
"Costa Rica","Michael","Barrantes Rojas","Costa Rica",1983-10-04,30,"Costa Rica","San Jos<U+00E9>","Midfielder",177,71
"Costa Rica","Carlos Gerardo","Hern<U+00E1>ndez Valverde","Costa Rica",1982-04-09,32,"Costa Rica","San Jos<U+00E9>","Midfielder",170,70
"Costa Rica","Celso","Borges Mora","Costa Rica",1988-05-27,26,"Costa Rica","San Jos<U+00E9>","Midfielder",182,78
"Costa Rica","Pablo","Herrera Barrantes","Costa Rica",1987-02-14,27,"Costa Rica","Alajuela","Midfielder",168,67
"Costa Rica","Eithel Ariel","Rodr<U+00ED>guez Araya","Costa Rica",1986-04-22,28,"Costa Rica",NA,"Midfielder",182,80
"Costa Rica","<U+00D3>scar Esteban","Granados Maroto","Costa Rica",1985-10-25,28,"Costa Rica",NA,"Midfielder",183,74
"Costa Rica","Cristian","Bola<U+00F1>os Navarro","Costa Rica",1984-05-17,30,"Costa Rica","Hatillo de San Jos<U+00E9>","Midfielder",178,67
"Costa Rica","Jos<U+00E9> Miguel","Cubero Loria","Costa Rica",1987-02-14,27,"Costa Rica",NA,"Midfielder",NA,NA
"Costa Rica","Yeltsin Ignacio","Tejeda Valverde","Costa Rica",1992-03-17,22,"Costa Rica",NA,"Midfielder",175,NA
"Costa Rica","Mauricio","Castillo Contreras","Costa Rica",1987-06-19,26,"Costa Rica","San Jos<U+00E9>","Midfielder",171,NA
"Costa Rica","Bryan","Ruiz Gonz<U+00E1>lez","Costa Rica",1985-08-18,28,"Costa Rica","San Jos<U+00E9>","Attacker",186,70
"Costa Rica","<U+00C1>lvaro Alberto","Sabor<U+00ED>o Chac<U+00F3>n","Costa Rica",1982-03-25,32,"Costa Rica","San Carlos","Attacker",183,82
"Costa Rica","Randall","Brenes Moya","Costa Rica",1983-08-13,30,"Costa Rica",NA,"Attacker",NA,NA
"Costa Rica","Jairo","Arrieta Obando","Costa Rica",1983-08-25,30,"Costa Rica","Nicoya","Attacker",173,70
"Costa Rica","Marcos Danilo","Ure<U+00F1>a Porras","Costa Rica",1990-03-05,24,"Costa Rica","San Jos<U+00E9>","Attacker",179,NA
"Costa Rica","Jonathan Andr<U+00E9>s","McDonald Porras","Costa Rica",1987-10-28,26,"Costa Rica",NA,"Attacker",173,69
"Costa Rica","Joel Nathaniel","Campbell Samuels","Costa Rica",1992-06-26,21,"Costa Rica","San Jos<U+00E9>","Attacker",178,70
"Costa Rica","Diego Gerardo","Calvo Fonseca","Costa Rica",1991-03-25,23,"Costa Rica","San Jose","Attacker",178,78
"Costa Rica","Kenny","Cunningham Brown","Costa Rica",1985-06-07,29,"Costa Rica",NA,"Attacker",172,70
"Costa Rica","John Jairo","Ruiz Barrantes","Costa Rica",1994-01-10,20,"Costa Rica","Puntarenas","Attacker",175,66
"England","Ben","Foster","England",1983-04-03,31,"England","Leamington Spa","Goalkeeper",190,79
"England","Joe","Hart","England",1987-04-19,27,"England","Shrewsbury","Goalkeeper",194,83
"England","John","Ruddy","England",1986-10-24,27,"England","Cambridgeshire","Goalkeeper",192,96
"England","Fraser","Forster","England",1988-03-17,26,"England","Hexham","Goalkeeper",201,NA
"England","Ashley","Cole","England",1980-12-20,33,"England","Stepney","Defender",176,66
"England","Phil","Jagielka","England",1982-08-17,31,"England","Sale","Defender",180,87
"England","Glen","Johnson","England",1984-08-23,29,"England","Greenwich","Defender",182,70
"England","Leighton","Baines","England",1984-12-11,29,"England","Kirkby","Defender",170,70
"England","Gary ","Cahill","England",1985-12-19,28,"England","Sheffield","Defender",188,71
"England","Chris","Smalling","England",1989-11-22,24,"England","Greenwich","Defender",192,81
"England","Steven","Caulker","England",1991-12-29,22,"England","London","Defender",191,76
"England","Phil","Jones","England",1992-02-21,22,"England","Preston","Defender",180,70
"England","Jon","Flanagan","England",1993-01-01,21,"England","Liverpool","Defender",180,NA
"England","John","Stones","England",1994-05-28,20,"England","Barnsley","Defender",188,NA
"England","Luke","Shaw","England",1995-07-12,18,"England","Kingston upon Thames","Defender",185,NA
"England","Michael","Carrick","England",1981-07-28,32,"England","Wallsend","Midfielder",188,74
"England","Steven ","Gerrard","England",1980-05-30,34,"England","Whiston","Midfielder",183,83
"England","Frank ","Lampard","England",1978-06-20,35,"England","Romford","Midfielder",184,88
"England","James","Milner","England",1986-01-04,28,"England","Wortley","Midfielder",176,70
"England","Adam","Lallana","England",1988-05-10,26,"England","St. Albans","Midfielder",173,72
"England","Jordan ","Henderson","England",1990-06-17,23,"England","Sunderland","Midfielder",182,67
"England","Jack","Wilshere","England",1992-01-01,22,"England","Stevenage","Midfielder",170,60
"England","Tom","Cleverley","England",1989-08-12,24,"England","Basingstoke","Midfielder",175,NA
"England","Andros","Townsend","England",1991-07-16,22,"England","London","Midfielder",183,77
"England","Ross","Barkley","England",1993-12-05,20,"England","Liverpool","Midfielder",189,NA
"England","Raheem Shaquille","Sterling","England",1994-12-08,19,"Jamaica","Kingston","Midfielder",170,NA
"England","Wayne","Rooney","England",1985-10-24,28,"England","Liverpool","Attacker",176,78
"England","Jermain ","Defoe","England",1982-10-07,31,"England","Beckton","Attacker",169,65
"England","Daniel","Sturridge","England",1989-09-01,24,"England","Birmingham","Attacker",188,76
"England","Jay","Rodriguez","England",1989-07-29,24,"England","Burnley","Attacker",185,70
"England","Rickie","Lambert","England",1982-02-16,32,"England","Liverpool","Attacker",188,76
"England","Daniel Nii ","Tackie  Mensah Welbeck","England",1990-11-26,23,"England","Manchester","Attacker",185,73
"England","Alex ","Oxlade-Chamberlain","England",1993-08-15,20,"England","Portsmouth","Attacker",180,69
"Italy","Gianluigi","Buffon","Italy",1978-01-28,36,"Italy","Carrara","Goalkeeper",191,83
"Italy","Antonio","Mirante","Italy",1983-07-08,30,"Italy","Castellamare Di Stabia","Goalkeeper",193,79
"Italy","Salvatore","Sirigu","Italy",1987-01-12,27,"Italy","Nuoro","Goalkeeper",192,80
"Italy","Mattia","Perin","Italy",1992-11-10,21,"Italy","Latina","Goalkeeper",188,74
"Italy","Andrea","Barzagli","Italy",1981-05-08,33,"Italy","Fiesole","Defender",186,79
"Italy","Gabriel Alejandro","Paletta","Italy",1986-02-15,28,"Argentina","Longchamps","Defender",190,88
"Italy","Leonardo","Bonucci","Italy",1987-05-01,27,"Italy","Viterbo","Defender",190,82
"Italy","Manuel","Pasqual","Italy",1982-03-13,32,"Italy","San Don<U+00E0> del Piave","Defender",178,71
"Italy","Giorgio","Chiellini","Italy",1984-08-14,29,"Italy","Pisa","Defender",186,76
"Italy","Domenico","Criscito","Italy",1986-12-30,27,"Italy","Cercola","Defender",183,75
"Italy","Matteo","Darmian","Italy",1989-12-02,24,"Italy","Legnano","Defender",182,70
"Italy","Ignazio","Abate","Italy",1986-11-12,27,"Italy","Sant'Agata de' Goti","Defender",180,73
"Italy","Andrea","Ranocchia","Italy",1988-02-16,26,"Italy","Assisi","Defender",195,81
"Italy","Davide","Astori","Italy",1987-01-07,27,"Italy","San Giovanni Bianco","Defender",188,80
"Italy","Mattia","De Sciglio","Italy",1992-10-20,21,"Italy","Milano","Defender",183,74
"Italy","Daniele","De Rossi","Italy",1983-07-24,30,"Italy","Roma","Midfielder",185,83
"Italy","Andrea","Pirlo","Italy",1979-05-19,35,"Italy","Flero","Midfielder",177,68
"Italy","Thiago","Motta","Italy",1982-08-28,31,"Brazil","Sao Bernardo","Midfielder",187,83
"Italy","Alberto","Aquilani","Italy",1984-07-07,29,"Italy","Roma","Midfielder",186,77
"Italy","Riccardo","Montolivo","Italy",1985-01-18,29,"Italy","Caravaggio","Midfielder",182,79
"Italy","Christian","Maggio","Italy",1982-02-11,32,"Italy","Montecchio Maggiore","Midfielder",184,79
"Italy","Claudio","Marchisio","Italy",1986-01-19,28,"Italy","Chieri","Midfielder",179,76
"Italy","Antonio","Candreva","Italy",1987-02-28,27,"Italy","Roma","Midfielder",181,72
"Italy","Alessio","Cerci","Italy",1987-07-23,26,"Italy","Velletri","Midfielder",180,78
"Italy","R<U+00F4>mulo ","Souza Orestes Caldeira","Italy",1987-05-22,27,"Brazil","Pelotas","Midfielder",178,72
"Italy","Emanuele","Giaccherini","Italy",1985-05-05,29,"Italy","Bibbiena","Midfielder",167,60
"Italy","Marco","Verratti","Italy",1992-11-05,21,"Italy","Pescara","Midfielder",165,60
"Italy","Marco","Parolo","Italy",1985-01-25,29,"Italy","Gallarate","Midfielder",186,82
"Italy","Alberto","Gilardino","Italy",1982-07-05,31,"Italy","Biella","Attacker",184,79
"Italy","Giuseppe","Rossi","Italy",1987-02-01,27,"USA","Teaneck","Attacker",173,72
"Italy","Antonio","Cassano","Italy",1982-07-12,31,"Italy","Bari","Attacker",175,78
"Italy","Pablo Daniel","Osvaldo","Italy",1986-01-12,28,"Argentina","Buenos Aires","Attacker",185,81
"Italy","Mario ","Barwuah Balotelli","Italy",1990-08-12,23,"Italy","Palermo","Attacker",189,88
"Italy","Ciro","Immobile","Italy",1990-02-20,24,"Italy","Torre Annunziata","Attacker",185,78
"Italy","Mattia","Destro","Italy",1991-03-20,23,"Italy","Ascoli","Attacker",181,73
"Italy","Lorenzo","Insigne","Italy",1991-06-04,23,"Italy","Napoli","Attacker",163,59
"Cote d'Ivoire","Boubacar Copa","Barry","Cote d'Ivoire",1979-12-30,34,"Cote d'Ivoire","Marcory","Goalkeeper",181,69
"Cote d'Ivoire","Badra Ali","Sangar<U+00E9>","Cote d'Ivoire",1986-05-30,28,"Cote d'Ivoire","Bingerville","Goalkeeper",181,78
"Cote d'Ivoire","Mand<U+00E9>","Sayouba","Cote d'Ivoire",1993-06-15,20,"Cote d'Ivoire","Abidjan","Goalkeeper",193,82
"Cote d'Ivoire","Guelassiognon Sylvain","Gbohouo","Cote d'Ivoire",1988-10-29,25,"Cote d'Ivoire",NA,"Goalkeeper",NA,NA
"Cote d'Ivoire","Kolo Habib","Tour<U+00E9>","Cote d'Ivoire",1981-03-19,33,"Cote d'Ivoire","Bouak<U+00E9>","Defender",180,74
"Cote d'Ivoire","Siaka Chico","Ti<U+00E9>n<U+00E9>","Cote d'Ivoire",1982-02-22,32,"Cote d'Ivoire","Abidjan","Defender",176,72
"Cote d'Ivoire","Arthur Etienne","Boka","Cote d'Ivoire",1983-04-02,31,"Cote d'Ivoire","Abidjan","Defender",166,67
"Cote d'Ivoire","Tohouri Zahoui Constant","Djakpa","Cote d'Ivoire",1986-10-17,27,"Cote d'Ivoire","Abidjan","Defender",177,74
"Cote d'Ivoire","Souleymane","Bamba","Cote d'Ivoire",1985-01-13,29,"France","Ivry-sur-Seine","Defender",190,90
"Cote d'Ivoire","Brou Benjamin","Angoua","Cote d'Ivoire",1986-11-28,27,"Cote d'Ivoire","Anyama","Defender",183,72
"Cote d'Ivoire","Ousmane","Viera Diarrassouba","Cote d'Ivoire",1986-12-21,27,"Cote d'Ivoire",NA,"Defender",NA,NA
"Cote d'Ivoire","Brice","Dja Dj<U+00E9>dj<U+00E9>","Cote d'Ivoire",1990-12-12,23,"Cote d'Ivoire","Aboud<U+00E9> Kouassiko","Defender",180,71
"Cote d'Ivoire","Serge","Aurier","Cote d'Ivoire",1992-12-24,21,"Cote d'Ivoire","Ouragahio","Defender",176,76
"Cote d'Ivoire","Jean-Daniel","Akpa Akpro","Cote d'Ivoire",1992-10-11,21,"France","Toulouse","Defender",180,68
"Cote d'Ivoire","Christian Koffi","Romaric N'Dri","Cote d'Ivoire",1983-06-04,31,"Cote d'Ivoire","Abidjan","Midfielder",187,88
"Cote d'Ivoire","Alain Didier","Zokora-D<U+00E9>guy","Cote d'Ivoire",1980-12-14,33,"Cote d'Ivoire","Abidjan","Midfielder",179,72
